azimuth,distance,elevation
0,0,176
0,26.9,180.9904458
0,141.2,181.0881941
0,146.8,181.2697268
0,157.2,181.3622387
0,162.5,181.4756966
0,169,181.9656331
0,174.6,181.9656331
0,180.1,182.2800798
0,186.1,182.4581757
0,191.2,182.4581757
0,198.8,182.7480181
0,207.1,182.9347873
0,217.8,183.1617031
0,230.8,183.4656682
0,236.6,183.6454554
0,246.9,183.8479959
0,252.7,184.1448224
0,261.2,184.1448224
0,284.3,184.3211186
0,294.4,184.5446115
0,300.8,184.7752057
0,305.2,184.8904443
0,308.5,185.4072717
0,323.3,185.6552091
0,330.4,186.1027407
0,336.8,186.3506782
310,343.9,186.638921
0,349.4,186.7576154
330,356.2,186.7576154
265,364.3,187.2816932
230,374.3,187.3864236
0,380.3,188.2185526
245,392.2,188.4280773
285,398.2,188.7427479
0,402.7,189.3446088
0,406.5,189.58207
265,413.3,190.0849291
0,427.7,190.6925505
200,445.1,190.6925505
315,453.2,190.8758287
315,463.7,191.2162024
295,483.2,191.6616686
290,491.7,192.4690151
290,504.9,192.9888974
290,513.4,193.3175534
290,518.1,193.7261264
0,529.8,194.1835885
0,542.9,194.4664468
0,551,194.7632733
0,559.5,195.1194651
0,569.7,195.3883551
0,577.4,195.5629057
0,587.4,195.8229862
0,602.3,196.1896543
0,612.8,196.4271155
190,619.6,196.6629505
240,624.1,196.9981899
285,633.7,197.4968753
0,639.4,197.6365158
0,647.4,197.7604468
210,654.5,197.8616861
295,660.3,198.0258137
0,665,198.284543
355,668.7,198.3561087
0,672.8,198.6810369
0,679,199.3990235
0,692.7,200.3423636
0,710.7,200.7071744
330,731.6,201.0878108
330,742.5,201.3251997
330,756.1,201.6499628
0,765.4,202.0026626
0,775.5,202.2785367
0,783.4,202.6382206
0,793.7,202.8617135
0,800.1,203.1061589
346,807.1,203.2807096
0,817.1,203.4692243
0,827.9,203.675194
0,839.7,203.930038
0,854.3,204.6270615
305,867.6,204.7388079
0,870.8,205.0880156
0,880.8,206.6537557
0,883.1213052,207.7585994
0,898.9213052,207.8493657
0,904.1213052,207.8493657
0,907.8213052,207.8493657
0,913.8213052,207.8493657
295,931.4213052,207.9872607
260,939.3213052,207.8493657
0,947.2213052,207.8493657
0,951.2213052,207.8493657
0,956.4213052,207.8493657
0,962.5213052,207.8493657
265,968.6213052,207.922677
0,972.8213052,207.922677
0,979.6213052,207.9750422
0,982.6213052,207.9750422
0,987.7213052,208.060572
0,992.6213052,208.060572
0,997.8213052,208.060572
300,1015.221305,208.060572
300,1031.721305,207.9942427
0,1035.521305,207.9279135
0,1039.321305,207.9279135
230,1043.721305,207.9279135
0,1050.321305,207.8240638
0,1062.221305,207.7193334
0,1068.221305,207.8345368
0,1074.821305,207.9183147
255,1084.421305,207.9183147
0,1099.521305,207.9183147
240,1115.721305,207.853731
0,1119.421305,207.853731
0,1134.321305,207.853731
0,1138.021305,207.853731
0,1149.221305,207.853731
0,1162.221305,207.853731
0,1173.621305,207.853731
0,1188.221305,207.6058691
0,1202.421305,207.6058691
0,1214.521305,207.6058691
0,1227.221305,207.6058691
235,1236.921305,207.6058691
200,1254.721305,207.2759684
0,1273.621305,207.2759684
315,1282.121305,207.2759684
0,1296.021305,207.2759684
0,1305.321305,207.4156089
